ID,Surveyed Date,Surveyed Time,Surveyed End Date,Q1. What brings you to this neighborhood today?,Q2. How often do you visit the neighborhood?,Q3. How much time do you typically spend when you visit?,Q4. How do you typically get to this neighborhood? Select Primary (next: secondary),Q5. How do you typically get to this neighborhood? (select secondary),Q6. How much money do you typically spend when you visit? (at businesses in the area),"Q7. In this neighborhood, how often do you recognize someone by face or name?",Q8. This neighborhood is clean and well-maintained,Q9. This neighborhood is safe,Q10. This neighborhood is attractive,Q11. This neighborhood is active and lively,Q12. This neighborhood is a place where it's easy to talk to others (who I may not have known before),Q13. This neighborhood has a strong identity,Q14. This neighborhood is in an area with a lot of noise,"Q15. When you visit the neighborhood, how often are you accompanied by anyone under 16 years old?","Q16. When you visit the neighborhood, how often are you accompanied by anyone over 65 years old?","Q17. When you visit the neighborhood, how often are you accompanied by anyone mobility assisted?","Q18. When you visit the neighborhood, how often are you accompanied by anyone who is a family member?",Q19. What year were you born?,Q20. Your gender identity:,Q21. Your ethnic identity:,Q22. Your racial identity:,Q23. What is your home zipcode?,Q25. SURVEYOR: Is it raining?,Q26. SURVEYOR: Location,Q27. Location Between __,Q28. Location Between AND __,Q29. SURVEYOR: Side of street for this interview
9328599,05/26/2015,17:00:42,05/26/2015 05:05:00 PM,I Live Here,Once a week,< 10 minutes,On foot,Car,$5-10,,Don't Know / No Opinion,,,,,,,Often,Never,Sometimes,Sometimes,1975,Female,Hispanic or Latino,Native Hawaiian or Pac Islander,90004,,Venice Blvd,,,North
9328602,05/26/2015,17:00:43,05/26/2015 05:05:00 PM,"I Live Here, I Work Here",Daily,,Car,On foot,$5-10,Often,Moderately Disagree,Moderately Disagree,,,,,,,,,,,,,,,,Van Nuys,,,South
9353258,05/27/2015,7:32:49,05/27/2015 07:37:00 AM,"I Live Here, Passing through en route to somewhere else",Several times a week,10-30 minutes,On foot,On foot,None,Often,Moderately Disagree,Moderately Disagree,Moderately Disagree,Don't Know / No Opinion,,,Strongly Agree,Never,Never,Never,Never,,Female,Hispanic or Latino,White,91331,No,Van Nuys,Laurel Canyon,San Fernando Rd.,East
9353259,05/27/2015,8:05:18,05/27/2015 08:08:00 AM,I Live Here,Daily,< 10 minutes,Car,Car,$5-10,Often,Strongly Disagree,Moderately Disagree,Moderately Disagree,Moderately Disagree,Moderately Disagree,Moderately Disagree,Strongly Agree,Often,Never,Never,Often,,Female,Hispanic or Latino,White,93133,No,Van Nuys,,,East
9353261,05/27/2015,8:09:08,05/27/2015 08:15:00 AM,Clinic,Once a month,10-30 minutes,Car,Car,None,Never,,Moderately Agree,,,,,,Never,Never,Never,Sometimes,1938,Male,Hispanic or Latino,White,91331,No,Van Nuys,,,East
9353262,05/27/2015,8:15:25,05/27/2015 08:21:00 AM,I Live Here,Daily,< 10 minutes,On foot,On foot,Greater than $30,Sometimes,Strongly Agree,Strongly Agree,Moderately Disagree,,,,,Sometimes,Sometimes,Never,Often,,Female,Hispanic or Latino,White,93133,No,Van Nuys,Laurel Canyon,San Fernando Rd.,East
9353263,05/27/2015,8:22:23,05/27/2015 08:24:00 AM,I Live Here,Daily,10-30 minutes,On foot,Car,$5-10,Often,Moderately Disagree,Moderately Disagree,Moderately Disagree,,,,Moderately Agree,Often,Never,Never,Often,,Female,Hispanic or Latino,White,93133,No,Van Nuys,Laurel Canyon,San Fernando,East
9353265,05/27/2015,8:58:26,05/27/2015 09:01:00 AM,"I Live Here, I Work Here",Daily,30 minutes - 1 hour,Bus,Bus,$5-10,Sometimes,Moderately Agree,Moderately Disagree,Moderately Disagree,Don't Know / No Opinion,,,Strongly Agree,Never,Never,Never,Never,1968,Male,Hispanic or Latino,White,93133,No,Van Nuys,San Fernando Rd.,Laurel Canyon,West
9353266,05/27/2015,9:02:36,05/27/2015 09:06:00 AM,I Live Here,Daily,10-30 minutes,On foot,On foot,Less than $5,Sometimes,Moderately Disagree,Moderately Disagree,Moderately Disagree,,Moderately Disagree,,,Never,Sometimes,Never,Sometimes,,Female,Hispanic or Latino,White,91331,No,Van Nuys,Laurel Canyon,San Fernando Rd.,West
9353267,05/27/2015,9:46:54,05/27/2015 09:50:00 AM,Passing through en route to somewhere else,Several times a week,10-30 minutes,On foot,Bus,None,Never,,Moderately Disagree,Moderately Disagree,Moderately Disagree,Moderately Agree,,,Never,Never,Never,Never,,Female,Hispanic or Latino,White,91331,No,Van Nuys,,,West
