,ID,Surveyed Date,Surveyed Time,Surveyed End Date,What brings you to this neighborhood today?,How often do you visit the neighborhood?,How much time do you typically spend when you visit?,How do you typically get to this neighborhood? Select Primary (next: secondary),How do you typically get to this neighborhood? (select secondary),How much money do you typically spend when you visit? (at businesses in the area),"In this neighborhood, how often do you recognize someone by face or name?",This neighborhood is clean and well-maintained?,This neighborhood is safe?,This neighborhood is attractive?,This neighborhood is active and lively?,This neighborhood is a place where its easy to talk to others? (who I may not have known before),This neighborhood has a strong identity?,This neighborhood is in an area with a lot of noise?,"When you visit the neighborhood, how often are you accompanied by anyone under 16 years old?","When you visit the neighborhood, how often are you accompanied by anyone over 65 years old?","When you visit the neighborhood, how often are you accompanied by anyone mobility assisted?","When you visit the neighborhood, how often are you accompanied by anyone who is a family member?",What year were you born?,Your gender identity?,Your ethnic identity?,Your racial identity?,What is your home zipcode?,Is it raining?,Location,Location Between,Location Between AND,Side of street for this interview,I live here,I work here,Passing through en route to somewhere else,Clinic,To meet friends,To shop,Dentist,Joining brother at the dentist,For music / art,Going to/from school,To dine / drink,Attractions,Fun,Fresh air,Volunteer,lat,lng,frmt_addrss,zipcode,area,lat_lng_geotype
0,9328599,05/26/2015,17:00:42,05/26/2015 05:05:00 PM,I Live Here,Once a week,< 10 minutes,On foot,Car,$5-10,,Don't Know / No Opinion,,,,,,,Often,Never,Sometimes,Sometimes,1975.0,Female,Hispanic or Latino,Native Hawaiian or Pac Islander,90004.0,,Venice Blvd,,,North,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
1,9328602,05/26/2015,17:00:43,05/26/2015 05:05:00 PM,"I Live Here, I Work Here",Daily,,Car,On foot,$5-10,Often,Moderately Disagree,Moderately Disagree,,,,,,,,,,,,,,,,Van Nuys,,,South,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
2,9353258,05/27/2015,7:32:49,05/27/2015 07:37:00 AM,"I Live Here, Passing through en route to somewhere else",Several times a week,10-30 minutes,On foot,On foot,None,Often,Moderately Disagree,Moderately Disagree,Moderately Disagree,Don't Know / No Opinion,,,Strongly Agree,Never,Never,Never,Never,,Female,Hispanic or Latino,White,91331.0,No,Van Nuys,laurel canyon,San Fernando Rd.,East,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,34.2587903,-118.4321397,Laurel Canyon Boulevard & Van Nuys Boulevard,91331,Pacoima,GEOMETRIC_CENTER
3,9353259,05/27/2015,8:05:18,05/27/2015 08:08:00 AM,I Live Here,Daily,< 10 minutes,Car,Car,$5-10,Often,Strongly Disagree,Moderately Disagree,Moderately Disagree,Moderately Disagree,Moderately Disagree,Moderately Disagree,Strongly Agree,Often,Never,Never,Often,,Female,Hispanic or Latino,White,93133.0,No,Van Nuys,,,East,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
4,9353261,05/27/2015,8:09:08,05/27/2015 08:15:00 AM,Clinic,Once a month,10-30 minutes,Car,Car,None,Never,,Moderately Agree,,,,,,Never,Never,Never,Sometimes,1938.0,Male,Hispanic or Latino,White,91331.0,No,Van Nuys,,,East,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,,,,,
5,9353262,05/27/2015,8:15:25,05/27/2015 08:21:00 AM,I Live Here,Daily,< 10 minutes,On foot,On foot,Greater than $30,Sometimes,Strongly Agree,Strongly Agree,Moderately Disagree,,,,,Sometimes,Sometimes,Never,Often,,Female,Hispanic or Latino,White,93133.0,No,Van Nuys,laurel canyon,San Fernando Rd.,East,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,34.2587903,-118.4321397,Laurel Canyon Boulevard & Van Nuys Boulevard,91331,Pacoima,GEOMETRIC_CENTER
6,9353263,05/27/2015,8:22:23,05/27/2015 08:24:00 AM,I Live Here,Daily,10-30 minutes,On foot,Car,$5-10,Often,Moderately Disagree,Moderately Disagree,Moderately Disagree,,,,Moderately Agree,Often,Never,Never,Often,,Female,Hispanic or Latino,White,93133.0,No,Van Nuys,laurel canyon,San Fernando,East,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,34.2587903,-118.4321397,Laurel Canyon Boulevard & Van Nuys Boulevard,91331,Pacoima,GEOMETRIC_CENTER
7,9353265,05/27/2015,8:58:26,05/27/2015 09:01:00 AM,"I Live Here, I Work Here",Daily,30 minutes - 1 hour,Bus,Bus,$5-10,Sometimes,Moderately Agree,Moderately Disagree,Moderately Disagree,Don't Know / No Opinion,,,Strongly Agree,Never,Never,Never,Never,1968.0,Male,Hispanic or Latino,White,93133.0,No,Van Nuys,san fernando rd,Laurel Canyon,West,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,34.2660955,-118.4221176,San Fernando Road & Van Nuys Boulevard,91331,Pacoima,GEOMETRIC_CENTER
8,9353266,05/27/2015,9:02:36,05/27/2015 09:06:00 AM,I Live Here,Daily,10-30 minutes,On foot,On foot,Less than $5,Sometimes,Moderately Disagree,Moderately Disagree,Moderately Disagree,,Moderately Disagree,,,Never,Sometimes,Never,Sometimes,,Female,Hispanic or Latino,White,91331.0,No,Van Nuys,laurel canyon,San Fernando Rd.,West,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,34.2587903,-118.4321397,Laurel Canyon Boulevard & Van Nuys Boulevard,91331,Pacoima,GEOMETRIC_CENTER
9,9353267,05/27/2015,9:46:54,05/27/2015 09:50:00 AM,Passing through en route to somewhere else,Several times a week,10-30 minutes,On foot,Bus,None,Never,,Moderately Disagree,Moderately Disagree,Moderately Disagree,Moderately Agree,,,Never,Never,Never,Never,,Female,Hispanic or Latino,White,91331.0,No,Van Nuys,,,West,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
